rank count word class
2149 4135 delivery noun
737 14025 demand noun
1241 7992 demand verb
2087 4302 democracy noun
2723 2975 democrat noun
1621 5880 democratic adjective
1507 6368 demonstrate verb
2529 3294 demonstration noun
3645 1881 density noun
1325 7339 deny verb
4838 1245 depart verb
469 21939 department noun
3044 2461 departure noun
992 10125 depend verb
4784 1266 dependence noun
2367 3619 dependent adjective
3221 2278 depending adjective
4438 1421 depict verb
2577 3198 deposit noun
4198 1541 deposit verb
3194 2302 depression noun
4546 1374 deprive verb
2156 4120 depth noun
1900 4853 deputy noun
1836 5065 derive verb
3756 1802 descend verb
427 23533 describe verb
1455 6634 description noun
3654 1875 desert noun
2630 3109 deserve verb
707 14565 design noun
862 11810 design verb
2899 2695 designer noun
3383 2102 desirable adjective
1634 5843 desire noun
4917 1221 desire verb
1896 4871 desk noun
4403 1441 desktop noun
2951 2608 desperate adjective
3535 1958 desperately adverb
706 14592 despite preposition
4293 1493 destination noun
1589 6004 destroy verb
3152 2341 destruction noun
590 17584 detail noun
1585 6030 detailed adjective
2551 3231 detect verb
2896 2700 detective noun
2764 2891 determination noun
877 11551 determine verb
3368 2115 determined adjective
